,Pclass,Sex,Age,Fare,Embarked,Alone,Single,SmallF,MedF,LargeF
0,3,1,22.0,7.25,2,0,1,0,0,0
1,1,0,38.0,71.2833,0,0,1,0,0,0
2,3,0,26.0,7.925,2,1,0,0,0,0
3,1,0,35.0,53.1,2,0,1,0,0,0
4,3,1,35.0,8.05,2,1,0,0,0,0
6,1,1,54.0,51.8625,2,1,0,0,0,0
7,3,1,2.0,21.075,2,0,0,0,1,0
8,3,0,27.0,11.1333,2,0,0,1,0,0
9,2,0,14.0,30.0708,0,0,1,0,0,0
10,3,0,4.0,16.7,2,0,0,1,0,0
11,1,0,58.0,26.55,2,1,0,0,0,0
12,3,1,20.0,8.05,2,1,0,0,0,0
13,3,1,39.0,31.275,2,0,0,0,0,1
14,3,0,14.0,7.8542,2,1,0,0,0,0
15,2,0,55.0,16.0,2,1,0,0,0,0
16,3,1,2.0,29.125,1,0,0,0,0,1
18,3,0,31.0,18.0,2,0,1,0,0,0
20,2,1,35.0,26.0,2,1,0,0,0,0
21,2,1,34.0,13.0,2,1,0,0,0,0
22,3,0,15.0,8.0292,1,1,0,0,0,0
23,1,1,28.0,35.5,2,1,0,0,0,0
24,3,0,8.0,21.075,2,0,0,0,1,0
25,3,0,38.0,31.3875,2,0,0,0,0,1
27,1,1,19.0,263.0,2,0,0,0,0,1
30,1,1,40.0,27.7208,0,1,0,0,0,0
33,2,1,66.0,10.5,2,1,0,0,0,0
34,1,1,28.0,82.1708,0,0,1,0,0,0
35,1,1,42.0,52.0,2,0,1,0,0,0
37,3,1,21.0,8.05,2,1,0,0,0,0
38,3,0,18.0,18.0,2,0,0,1,0,0
39,3,0,14.0,11.2417,0,0,1,0,0,0
40,3,0,40.0,9.475,2,0,1,0,0,0
41,2,0,27.0,21.0,2,0,1,0,0,0
43,2,0,3.0,41.5792,0,0,0,0,1,0
44,3,0,19.0,7.8792,1,1,0,0,0,0
49,3,0,18.0,17.8,2,0,1,0,0,0
50,3,1,7.0,39.6875,2,0,0,0,0,1
51,3,1,21.0,7.8,2,1,0,0,0,0
52,1,0,49.0,76.7292,0,0,1,0,0,0
53,2,0,29.0,26.0,2,0,1,0,0,0
54,1,1,65.0,61.9792,0,0,1,0,0,0
56,2,0,21.0,10.5,2,1,0,0,0,0
57,3,1,28.5,7.2292,0,1,0,0,0,0
58,2,0,5.0,27.75,2,0,0,0,1,0
59,3,1,11.0,46.9,2,0,0,0,0,1
60,3,1,22.0,7.2292,0,1,0,0,0,0
62,1,1,45.0,83.475,2,0,1,0,0,0
63,3,1,4.0,27.9,2,0,0,0,0,1
66,2,0,29.0,10.5,2,1,0,0,0,0
67,3,1,19.0,8.1583,2,1,0,0,0,0
68,3,0,17.0,7.925,2,0,0,0,0,1
69,3,1,26.0,8.6625,2,0,0,1,0,0
70,2,1,32.0,10.5,2,1,0,0,0,0
71,3,0,16.0,46.9,2,0,0,0,0,1
72,2,1,21.0,73.5,2,1,0,0,0,0
73,3,1,26.0,14.4542,0,0,1,0,0,0
74,3,1,32.0,56.4958,2,1,0,0,0,0
75,3,1,25.0,7.65,2,1,0,0,0,0
78,2,1,0.83,29.0,2,0,0,1,0,0
79,3,0,30.0,12.475,2,1,0,0,0,0
80,3,1,22.0,9.0,2,1,0,0,0,0
81,3,1,29.0,9.5,2,1,0,0,0,0
83,1,1,28.0,47.1,2,1,0,0,0,0
84,2,0,17.0,10.5,2,1,0,0,0,0
85,3,0,33.0,15.85,2,0,0,0,1,0
86,3,1,16.0,34.375,2,0,0,0,1,0
88,1,0,23.0,263.0,2,0,0,0,0,1
89,3,1,24.0,8.05,2,1,0,0,0,0
90,3,1,29.0,8.05,2,1,0,0,0,0
91,3,1,20.0,7.8542,2,1,0,0,0,0
92,1,1,46.0,61.175,2,0,1,0,0,0
93,3,1,26.0,20.575,2,0,0,0,1,0
94,3,1,59.0,7.25,2,1,0,0,0,0
96,1,1,71.0,34.6542,0,1,0,0,0,0
97,1,1,23.0,63.3583,0,0,1,0,0,0
98,2,0,34.0,23.0,2,0,1,0,0,0
99,2,1,34.0,26.0,2,0,1,0,0,0
100,3,0,28.0,7.8958,2,1,0,0,0,0
102,1,1,21.0,77.2875,2,0,1,0,0,0
103,3,1,33.0,8.6542,2,1,0,0,0,0
104,3,1,37.0,7.925,2,0,0,1,0,0
105,3,1,28.0,7.8958,2,1,0,0,0,0
106,3,0,21.0,7.65,2,1,0,0,0,0
108,3,1,38.0,7.8958,2,1,0,0,0,0
110,1,1,47.0,52.0,2,1,0,0,0,0
111,3,0,14.5,14.4542,0,0,1,0,0,0
112,3,1,22.0,8.05,2,1,0,0,0,0
113,3,0,20.0,9.825,2,0,1,0,0,0
114,3,0,17.0,14.4583,0,1,0,0,0,0
115,3,1,21.0,7.925,2,1,0,0,0,0
116,3,1,70.5,7.75,1,1,0,0,0,0
117,2,1,29.0,21.0,2,0,1,0,0,0
118,1,1,24.0,247.5208,0,0,1,0,0,0
119,3,0,2.0,31.275,2,0,0,0,0,1
120,2,1,21.0,73.5,2,0,0,1,0,0
122,2,1,32.5,30.0708,0,0,1,0,0,0
123,2,0,32.5,13.0,2,1,0,0,0,0
124,1,1,54.0,77.2875,2,0,1,0,0,0
125,3,1,12.0,11.2417,0,0,1,0,0,0
127,3,1,24.0,7.1417,2,1,0,0,0,0
129,3,1,45.0,6.975,2,1,0,0,0,0
130,3,1,33.0,7.8958,0,1,0,0,0,0
131,3,1,20.0,7.05,2,1,0,0,0,0
132,3,0,47.0,14.5,2,0,1,0,0,0
133,2,0,29.0,26.0,2,0,1,0,0,0
134,2,1,25.0,13.0,2,1,0,0,0,0
135,2,1,23.0,15.0458,0,1,0,0,0,0
136,1,0,19.0,26.2833,2,0,0,1,0,0
137,1,1,37.0,53.1,2,0,1,0,0,0
138,3,1,16.0,9.2167,2,1,0,0,0,0
139,1,1,24.0,79.2,0,1,0,0,0,0
141,3,0,22.0,7.75,2,1,0,0,0,0
142,3,0,24.0,15.85,2,0,1,0,0,0
143,3,1,19.0,6.75,1,1,0,0,0,0
144,2,1,18.0,11.5,2,1,0,0,0,0
145,2,1,19.0,36.75,2,0,0,1,0,0
146,3,1,27.0,7.7958,2,1,0,0,0,0
147,3,0,9.0,34.375,2,0,0,0,1,0
148,2,1,36.5,26.0,2,0,0,1,0,0
149,2,1,42.0,13.0,2,1,0,0,0,0
150,2,1,51.0,12.525,2,1,0,0,0,0
151,1,0,22.0,66.6,2,0,1,0,0,0
152,3,1,55.5,8.05,2,1,0,0,0,0
153,3,1,40.5,14.5,2,0,0,1,0,0
155,1,1,51.0,61.3792,0,0,1,0,0,0
156,3,0,16.0,7.7333,1,1,0,0,0,0
157,3,1,30.0,8.05,2,1,0,0,0,0
160,3,1,44.0,16.1,2,0,1,0,0,0
161,2,0,40.0,15.75,2,1,0,0,0,0
162,3,1,26.0,7.775,2,1,0,0,0,0
163,3,1,17.0,8.6625,2,1,0,0,0,0
164,3,1,1.0,39.6875,2,0,0,0,0,1
165,3,1,9.0,20.525,2,0,0,1,0,0
167,3,0,45.0,27.9,2,0,0,0,0,1
169,3,1,28.0,56.4958,2,1,0,0,0,0
170,1,1,61.0,33.5,2,1,0,0,0,0
171,3,1,4.0,29.125,1,0,0,0,0,1
172,3,0,1.0,11.1333,2,0,0,1,0,0
173,3,1,21.0,7.925,2,1,0,0,0,0
174,1,1,56.0,30.6958,0,1,0,0,0,0
175,3,1,18.0,7.8542,2,0,0,1,0,0
177,1,0,50.0,28.7125,0,1,0,0,0,0
178,2,1,30.0,13.0,2,1,0,0,0,0
179,3,1,36.0,0.0,2,1,0,0,0,0
182,3,1,9.0,31.3875,2,0,0,0,0,1
183,2,1,1.0,39.0,2,0,0,0,1,0
184,3,0,4.0,22.025,2,0,0,1,0,0
187,1,1,45.0,26.55,2,1,0,0,0,0
188,3,1,40.0,15.5,1,0,0,1,0,0
189,3,1,36.0,7.8958,2,1,0,0,0,0
190,2,0,32.0,13.0,2,1,0,0,0,0
191,2,1,19.0,13.0,2,1,0,0,0,0
192,3,0,19.0,7.8542,2,0,1,0,0,0
193,2,1,3.0,26.0,2,0,0,1,0,0
194,1,0,44.0,27.7208,0,1,0,0,0,0
195,1,0,58.0,146.5208,0,1,0,0,0,0
197,3,1,42.0,8.4042,2,0,1,0,0,0
199,2,0,24.0,13.0,2,1,0,0,0,0
200,3,1,28.0,9.5,2,1,0,0,0,0
202,3,1,34.0,6.4958,2,1,0,0,0,0
203,3,1,45.5,7.225,0,1,0,0,0,0
204,3,1,18.0,8.05,2,1,0,0,0,0
205,3,0,2.0,10.4625,2,0,1,0,0,0
206,3,1,32.0,15.85,2,0,1,0,0,0
207,3,1,26.0,18.7875,0,1,0,0,0,0
208,3,0,16.0,7.75,1,1,0,0,0,0
209,1,1,40.0,31.0,0,1,0,0,0,0
210,3,1,24.0,7.05,2,1,0,0,0,0
211,2,0,35.0,21.0,2,1,0,0,0,0
212,3,1,22.0,7.25,2,1,0,0,0,0
213,2,1,30.0,13.0,2,1,0,0,0,0
215,1,0,31.0,113.275,0,0,1,0,0,0
216,3,0,27.0,7.925,2,1,0,0,0,0
217,2,1,42.0,27.0,2,0,1,0,0,0
218,1,0,32.0,76.2917,0,1,0,0,0,0
219,2,1,30.0,10.5,2,1,0,0,0,0
220,3,1,16.0,8.05,2,1,0,0,0,0
221,2,1,27.0,13.0,2,1,0,0,0,0
222,3,1,51.0,8.05,2,1,0,0,0,0
224,1,1,38.0,90.0,2,0,1,0,0,0
225,3,1,22.0,9.35,2,1,0,0,0,0
226,2,1,19.0,10.5,2,1,0,0,0,0
227,3,1,20.5,7.25,2,1,0,0,0,0
228,2,1,18.0,13.0,2,1,0,0,0,0
230,1,0,35.0,83.475,2,0,1,0,0,0
231,3,1,29.0,7.775,2,1,0,0,0,0
232,2,1,59.0,13.5,2,1,0,0,0,0
233,3,0,5.0,31.3875,2,0,0,0,0,1
234,2,1,24.0,10.5,2,1,0,0,0,0
236,2,1,44.0,26.0,2,0,1,0,0,0
237,2,0,8.0,26.25,2,0,0,1,0,0
238,2,1,19.0,10.5,2,1,0,0,0,0
239,2,1,33.0,12.275,2,1,0,0,0,0
242,2,1,29.0,10.5,2,1,0,0,0,0
243,3,1,22.0,7.125,2,1,0,0,0,0
244,3,1,30.0,7.225,0,1,0,0,0,0
245,1,1,44.0,90.0,1,0,0,1,0,0
246,3,0,25.0,7.775,2,1,0,0,0,0
247,2,0,24.0,14.5,2,0,0,1,0,0
248,1,1,37.0,52.5542,2,0,0,1,0,0
249,2,1,54.0,26.0,2,0,1,0,0,0
251,3,0,29.0,10.4625,2,0,0,1,0,0
